sentence_index,chapter_number,sentence
470,2,"""When I came back they had both disappeared, so I sat down discreetly in the living-room and read a chapter of Simon Called Peter\u2014either it was terrible stuff or the whisky distorted things, because it didn\u2019t make any sense to me."""
471,2,"""Just as Tom and Myrtle (after the first drink Mrs. Wilson"""
472,2,"""and I called each other by our first names) reappeared, company commenced to arrive at the apartment door."""
473,2,"""The sister, Catherine, was a slender, worldly girl of about thirty, with a solid, sticky bob of red hair, and a complexion powdered milky white."""
474,2,"""Her eyebrows had been plucked and then drawn on again at a more rakish angle, but the efforts of nature toward the restoration of the old alignment gave a blurred air to her face."""
475,2,"""When she moved about there was an incessant clicking as innumerable pottery bracelets jingled up and down upon her arms."""
476,2,"""She came in with such a proprietary haste, and looked around so possessively at the furniture that I wondered if she lived here."""
477,2,"""But when I asked her she laughed immoderately, repeated my question aloud, and told me she lived with a girl friend at a hotel."""
478,2,"""Mr. McKee was a pale, feminine man from the flat below."""
479,2,"""He had just shaved, for there was a white spot of lather on his cheekbone, and he was most respectful in his greeting to everyone in the room."""
480,2,"""He informed me that he was in the \u201cartistic game,\u201d and I gathered later that he was a photographer and had made the dim enlargement of Mrs. Wilson\u2019s mother which hovered like an ectoplasm on the wall."""
481,2,"""His wife was shrill, languid, handsome, and horrible."""
482,2,"""She told me with pride that her husband had photographed her a hundred and twenty-seven times since they had been married."""
483,2,"""Mrs. Wilson had changed her costume some time before, and was now attired in an elaborate afternoon dress of cream-coloured chiffon, which gave out a continual rustle as she swept about the room."""
484,2,"""With the influence of the dress her personality had also undergone a change."""
485,2,"""The intense vitality that had been so remarkable in the garage was converted into impressive hauteur."""
486,2,"""Her laughter, her gestures, her assertions became more violently affected moment by moment, and as she expanded the room grew smaller around her, until she seemed to be revolving on a noisy, creaking pivot through the smoky air."""
487,2,"""\u201cMy dear,\u201d she told her sister in a high, mincing shout, \u201cmost of these fellas will cheat you every time."""
488,2,"""All they think of is money."""
489,2,"""I had a woman up here last week to look at my feet, and when she gave me the bill you\u2019d of thought she had my appendicitis out.\u201d"""
490,2,"""\u201cWhat was the name of the woman?\u201d asked Mrs. McKee."""
491,2,"""\u201cMrs. Eberhardt."""
492,2,"""She goes around looking at people\u2019s feet in their own homes.\u201d"""
493,2,"""\u201cI like your dress,\u201d remarked Mrs. McKee, \u201cI think it\u2019s adorable.\u201d"""
494,2,"""Mrs. Wilson rejected the compliment by raising her eyebrow in disdain."""
495,2,"""\u201cIt\u2019s just a crazy old thing,\u201d she said."""
496,2,"""\u201cI just slip it on sometimes when I don\u2019t care what I look like.\u201d"""
497,2,"""\u201cBut it looks wonderful on you, if you know what I mean,\u201d pursued Mrs. McKee."""
498,2,"""\u201cIf Chester could only get you in that pose I think he could make something of it.\u201d"""
499,2,"""We all looked in silence at Mrs. Wilson, who removed a strand of hair from over her eyes and looked back at us with a brilliant smile."""
500,2,"""Mr. McKee regarded her intently with his head on one side, and then moved his hand back and forth slowly in front of his face."""
501,2,"""\u201cI should change the light,\u201d he said after a moment."""
502,2,"""\u201cI\u2019d like to bring out the modelling of the features."""
503,2,"""And I\u2019d try to get hold of all the back hair.\u201d"""
504,2,"""\u201cI wouldn\u2019t think of changing the light,\u201d cried Mrs. McKee."""
505,2,"""\u201cI think it\u2019s\u2014\u201d Her husband said \u201cSh!\u201d"""
506,2,"""and we all looked at the subject again, whereupon Tom Buchanan yawned audibly and got to his feet."""
507,2,"""\u201cYou McKees have something to drink,\u201d he said."""
508,2,"""\u201cGet some more ice and mineral water, Myrtle, before everybody goes to sleep.\u201d"""
509,2,"""\u201cI told that boy about the ice.\u201d"""
510,2,"""Myrtle raised her eyebrows in despair at the shiftlessness of the lower orders."""
511,2,"""\u201cThese people!"""
512,2,"""You have to keep after them all the time.\u201d"""
513,2,"""She looked at me and laughed pointlessly."""
514,2,"""Then she flounced over to the dog, kissed it with ecstasy, and swept into the kitchen, implying that a dozen chefs awaited her orders there."""
515,2,"""\u201cI\u2019ve done some nice things out on Long Island,\u201d asserted Mr. McKee."""
516,2,"""Tom looked at him blankly."""
517,2,"""\u201cTwo of them we have framed downstairs.\u201d"""
518,2,"""\u201cTwo what?\u201d demanded Tom."""
519,2,"""\u201cTwo studies."""
520,2,"""One of them I call Montauk Point\u2014The Gulls, and the other I call Montauk Point\u2014The Sea.\u201d"""
521,2,"""The sister Catherine sat down beside me on the couch."""
522,2,"""\u201cDo you live down on Long Island, too?\u201d"""
523,2,"""she inquired."""
524,2,"""\u201cI live at West Egg.\u201d"""
525,2,"""\u201cReally?"""
526,2,"""I was down there at a party about a month ago."""
527,2,"""At a man named Gatsby\u2019s."""
528,2,"""Do you know him?\u201d"""
529,2,"""\u201cI live next door to him.\u201d"""
530,2,"""\u201cWell, they say he\u2019s a nephew or a cousin of Kaiser Wilhelm\u2019s."""
531,2,"""That\u2019s where all his money comes from.\u201d"""
532,2,"""\u201cReally?\u201d"""
533,2,"""She nodded."""
534,2,"""\u201cI\u2019m scared of him."""
535,2,"""I\u2019d hate to have him get anything on me.\u201d"""
536,2,"""This absorbing information about my neighbour was interrupted by Mrs. McKee\u2019s pointing suddenly at Catherine: \u201cChester, I think you could do something with her,\u201d she broke out, but Mr. McKee only nodded in a bored way, and turned his attention to Tom."""
537,2,"""\u201cI\u2019d like to do more work on Long Island, if I could get the entry."""
538,2,"""All I ask is that they should give me a start.\u201d"""
539,2,"""\u201cAsk Myrtle,\u201d said Tom, breaking into a short shout of laughter as Mrs. Wilson entered with a tray."""
540,2,"""\u201cShe\u2019ll give you a letter of introduction, won\u2019t you, Myrtle?\u201d"""
541,2,"""\u201cDo what?\u201d"""
542,2,"""she asked, startled."""
543,2,"""\u201cYou\u2019ll give McKee a letter of introduction to your husband, so he can do some studies of him.\u201d"""
544,2,"""His lips moved silently for a moment as he invented, \u201c\u200a\u2018George B. Wilson at the Gasoline Pump,\u2019 or something like that.\u201d"""
545,2,"""Catherine leaned close to me and whispered in my ear: \u201cNeither of them can stand the person they\u2019re married to.\u201d"""
546,2,"""\u201cCan\u2019t they?\u201d"""
547,2,"""\u201cCan\u2019t stand them.\u201d"""
548,2,"""She looked at Myrtle and then at Tom."""
549,2,"""\u201cWhat I say is, why go on living with them if they can\u2019t stand them?"""
550,2,"""If I was them I\u2019d get a divorce and get married to each other right away.\u201d"""
551,2,"""\u201cDoesn\u2019t she like Wilson either?\u201d"""
552,2,"""The answer to this was unexpected."""
553,2,"""It came from Myrtle, who had overheard the question, and it was violent and obscene."""
554,2,"""\u201cYou see,\u201d cried Catherine triumphantly."""
555,2,"""She lowered her voice again."""
556,2,"""\u201cIt\u2019s really his wife that\u2019s keeping them apart."""
557,2,"""She\u2019s a Catholic, and they don\u2019t believe in divorce.\u201d"""
558,2,"""Daisy was not a Catholic, and I was a little shocked at the elaborateness of the lie."""
559,2,"""\u201cWhen they do get married,\u201d continued Catherine, \u201cthey\u2019re going West to live for a while until it blows over.\u201d"""
560,2,"""\u201cIt\u2019d be more discreet to go to Europe.\u201d"""
561,2,"""\u201cOh, do you like Europe?\u201d"""
562,2,"""she exclaimed surprisingly."""
563,2,"""\u201cI just got back from Monte Carlo.\u201d"""
564,2,"""\u201cReally.\u201d"""
565,2,"""\u201cJust last year."""
566,2,"""I went over there with another girl.\u201d"""
567,2,"""\u201cStay long?\u201d"""
568,2,"""\u201cNo, we just went to Monte Carlo and back."""
569,2,"""We went by way of Marseilles."""
570,2,"""We had over twelve hundred dollars when we started, but we got gyped out of it all in two days in the private rooms."""
571,2,"""We had an awful time getting back, I can tell you."""
572,2,"""God, how I hated that town!\u201d"""
573,2,"""The late afternoon sky bloomed in the window for a moment like the blue honey of the Mediterranean\u2014then the shrill voice of Mrs. McKee called me back into the room."""
574,2,"""\u201cI almost made a mistake, too,\u201d she declared vigorously."""
575,2,"""\u201cI almost married a little kike who\u2019d been after me for years."""
576,2,"""I knew he was below me."""
577,2,"""Everybody kept saying to me: \u2018Lucille, that man\u2019s way below you!\u2019"""
578,2,"""But if I hadn\u2019t met Chester, he\u2019d of got me sure.\u201d"""
579,2,"""\u201cYes, but listen,\u201d said Myrtle Wilson, nodding her head up and down, \u201cat least you didn\u2019t marry him.\u201d"""
580,2,"""\u201cI know I didn\u2019t.\u201d"""
581,2,"""\u201cWell, I married him,\u201d said Myrtle, ambiguously."""
582,2,"""\u201cAnd that\u2019s the difference between your case and mine.\u201d"""
583,2,"""\u201cWhy did you, Myrtle?\u201d demanded Catherine."""
584,2,"""\u201cNobody forced you to.\u201d"""
585,2,"""Myrtle considered."""
586,2,"""\u201cI married him because I thought he was a gentleman,\u201d she said finally."""
587,2,"""\u201cI thought he knew something about breeding, but he wasn\u2019t fit to lick my shoe.\u201d"""
588,2,"""\u201cYou were crazy about him for a while,\u201d said Catherine."""
589,2,"""\u201cCrazy about him!\u201d"""
590,2,"""cried Myrtle incredulously."""
591,2,"""\u201cWho said I was crazy about him?"""
592,2,"""I never was any more crazy about him than I was about that man there.\u201d"""
593,2,"""She pointed suddenly at me, and everyone looked at me accusingly."""
594,2,"""I tried to show by my expression that I expected no affection."""
595,2,"""\u201cThe only crazy I was was when I married him."""
596,2,"""I knew right away I made a mistake."""
597,2,"""He borrowed somebody\u2019s best suit to get married in, and never even told me about it, and the man came after it one day when he was out: \u2018Oh, is that your suit?\u2019"""
598,2,"""I said."""
599,2,"""\u2018This is the first I ever heard about it.\u2019"""
600,2,"""But I gave it to him and then I lay down and cried to beat the band all afternoon.\u201d"""
601,2,"""\u201cShe really ought to get away from him,\u201d resumed Catherine to me."""
602,2,"""\u201cThey\u2019ve been living over that garage for eleven years."""
603,2,"""And Tom\u2019s the first sweetie she ever had.\u201d"""
604,2,"""The bottle of whisky\u2014a second one\u2014was now in constant demand by all present, excepting Catherine, who \u201cfelt just as good on nothing at all.\u201d"""
605,2,"""Tom rang for the janitor and sent him for some celebrated sandwiches, which were a complete supper in themselves."""
606,2,"""I wanted to get out and walk eastward toward the park through the soft twilight, but each time I tried to go I became entangled in some wild, strident argument which pulled me back, as if with ropes, into my chair."""
607,2,"""Yet high over the city our line of yellow windows must have contributed their share of human secrecy to the casual watcher in the darkening streets, and I saw him too, looking up and wondering."""
608,2,"""I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life."""
609,2,"""Myrtle pulled her chair close to mine, and suddenly her warm breath poured over me the story of her first meeting with Tom."""
610,2,"""\u201cIt was on the two little seats facing each other that are always the last ones left on the train."""
611,2,"""I was going up to New York to see my sister and spend the night."""
612,2,"""He had on a dress suit and patent leather shoes, and I couldn\u2019t keep my eyes off him, but every time he looked at me I had to pretend to be looking at the advertisement over his head."""
613,2,"""When we came into the station he was next to me, and his white shirtfront pressed against my arm, and so I told him I\u2019d have to call a policeman, but he knew I lied."""
614,2,"""I was so excited that when I got into a taxi with him I didn\u2019t hardly know I wasn\u2019t getting into a subway train."""
615,2,"""All I kept thinking about, over and over, was \u2018You can\u2019t live forever; you can\u2019t live forever.\u2019\u200a\u201d"""
616,2,"""She turned to Mrs. McKee and the room rang full of her artificial laughter."""
617,2,"""\u201cMy dear,\u201d she cried, \u201cI\u2019m going to give you this dress as soon as I\u2019m through with it."""
618,2,"""I\u2019ve got to get another one tomorrow."""
619,2,"""I\u2019m going to make a list of all the things I\u2019ve got to get."""
620,2,"""A massage and a wave, and a collar for the dog, and one of those cute little ashtrays where you touch a spring, and a wreath with a black silk bow for mother\u2019s grave that\u2019ll last all summer."""
621,2,"""I got to write down a list so I won\u2019t forget all the things I got to do.\u201d"""
622,2,"""It was nine o\u2019clock\u2014almost immediately afterward I looked at my watch and found it was ten."""
623,2,"""Mr. McKee was asleep on a chair with his fists clenched in his lap, like a photograph of a man of action."""
624,2,"""Taking out my handkerchief I wiped from his cheek the spot of dried lather that had worried me all the afternoon."""
625,2,"""The little dog was sitting on the table looking with blind eyes through the smoke, and from time to time groaning faintly."""
626,2,"""People disappeared, reappeared, made plans to go somewhere, and then lost each other, searched for each other, found each other a few feet away."""
627,2,"""Some time toward midnight Tom Buchanan and Mrs. Wilson stood face to face discussing, in impassioned voices, whether Mrs. Wilson had any right to mention Daisy\u2019s name."""
628,2,"""\u201cDaisy!"""
629,2,"""Daisy!"""
630,2,"""Daisy!\u201d shouted Mrs. Wilson."""
631,2,"""\u201cI\u2019ll say it whenever I want to!"""
632,2,"""Daisy!"""
633,2,"""Dai\u2014\u201d Making a short deft movement, Tom Buchanan broke her nose with his open hand."""
634,2,"""Then there were bloody towels upon the bathroom floor, and women\u2019s voices scolding, and high over the confusion a long broken wail of pain."""
635,2,"""Mr. McKee awoke from his doze and started in a daze toward the door."""
636,2,"""When he had gone halfway he turned around and stared at the scene\u2014his wife and Catherine scolding and consoling as they stumbled here and there among the crowded furniture with articles of aid, and the despairing figure on the couch, bleeding fluently, and trying to spread a copy of Town Tattle over the tapestry scenes of Versailles."""
637,2,"""Then Mr. McKee turned and continued on out the door."""
638,2,"""Taking my hat from the chandelier, I followed."""
639,2,"""\u201cCome to lunch some day,\u201d he suggested, as we groaned down in the elevator."""
640,2,"""\u201cWhere?\u201d"""
641,2,"""\u201cAnywhere.\u201d"""
642,2,"""\u201cKeep your hands off the lever,\u201d snapped the elevator boy."""
643,2,"""\u201cI beg your pardon,\u201d said Mr. McKee with dignity, \u201cI didn\u2019t know I was touching it.\u201d"""
644,2,"""\u201cAll right,\u201d I agreed, \u201cI\u2019ll be glad to.\u201d"""
645,2,"""\u2026 I was standing beside his bed and he was sitting up between the sheets, clad in his underwear, with a great portfolio in his hands."""
646,2,"""\u201cBeauty and the Beast \u2026 Loneliness \u2026 Old Grocery Horse \u2026 Brook\u2019n Bridge \u2026\u201d"""
647,2,"""Then I was lying half asleep in the cold lower level of the Pennsylvania Station, staring at the morning Tribune, and waiting for the four o\u2019clock train.                                  """
648,3,""" III There was music from my neighbour\u2019s house through the summer nights."""
649,3,"""In his blue gardens men and girls came and went like moths among the whisperings and the champagne and the stars."""
650,3,"""At high tide in the afternoon I watched his guests diving from the tower of his raft, or taking the sun on the hot sand of his beach while his two motorboats slit the waters of the Sound, drawing aquaplanes over cataracts of foam."""
651,3,"""On weekends his Rolls-Royce became an omnibus, bearing parties to and from the city between nine in the morning and long past midnight, while his station wagon scampered like a brisk yellow bug to meet all trains."""
652,3,"""And on Mondays eight servants, including an extra gardener, toiled all day with mops and scrubbing-brushes and hammers and garden-shears, repairing the ravages of the night before."""
653,3,"""Every Friday five crates of oranges and lemons arrived from a fruiterer in New York\u2014every Monday these same oranges and lemons left his back door in a pyramid of pulpless halves."""
654,3,"""There was a machine in the kitchen which could extract the juice of two hundred oranges in half an hour if a little button was pressed two hundred times by a butler\u2019s thumb."""
655,3,"""At least once a fortnight a corps of caterers came down with several hundred feet of canvas and enough coloured lights to make a Christmas tree of Gatsby\u2019s enormous garden."""
656,3,"""On buffet tables, garnished with glistening hors-d\u2019oeuvre, spiced baked hams crowded against salads of harlequin designs and pastry pigs and turkeys bewitched to a dark gold."""
657,3,"""In the main hall a bar with a real brass rail was set up, and stocked with gins and liquors and with cordials so long forgotten that most of his female guests were too young to know one from another."""
658,3,"""By seven o\u2019clock the orchestra has arrived, no thin five-piece affair, but a whole pitful of oboes and trombones and saxophones and viols and cornets and piccolos, and low and high drums."""
659,3,"""The last swimmers have come in from the beach now and are dressing upstairs; the cars from New York are parked five deep in the drive, and already the halls and salons and verandas are gaudy with primary colours, and hair bobbed in strange new ways, and shawls beyond the dreams of Castile."""
660,3,"""The bar is in full swing, and floating rounds of cocktails permeate the garden outside, until the air is alive with chatter and laughter, and casual innuendo and introductions forgotten on the spot, and enthusiastic meetings between women who never knew each other\u2019s names."""
661,3,"""The lights grow brighter as the earth lurches away from the sun, and now the orchestra is playing yellow cocktail music, and the opera of voices pitches a key higher."""
662,3,"""Laughter is easier minute by minute, spilled with prodigality, tipped out at a cheerful word."""
663,3,"""The groups change more swiftly, swell with new arrivals, dissolve and form in the same breath; already there are wanderers, confident girls who weave here and there among the stouter and more stable, become for a sharp, joyous moment the centre of a group, and then, excited with triumph, glide on through the sea-change of faces and voices and colour under the constantly changing light."""
664,3,"""Suddenly one of these gypsies, in trembling opal, seizes a cocktail out of the air, dumps it down for courage and, moving her hands like Frisco, dances out alone on the canvas platform."""
665,3,"""A momentary hush; the orchestra leader varies his rhythm obligingly for her, and there is a burst of chatter as the erroneous news goes around that she is Gilda Gray\u2019s understudy from the Follies."""
666,3,"""The party has begun."""
667,3,"""I believe that on the first night I went to Gatsby\u2019s house I was one of the few guests who had actually been invited."""
668,3,"""People were not invited\u2014they went there."""
669,3,"""They got into automobiles which bore them out to Long Island, and somehow they ended up at Gatsby\u2019s door."""
670,3,"""Once there they were introduced by somebody who knew Gatsby, and after that they conducted themselves according to the rules of behaviour associated with an amusement park."""
671,3,"""Sometimes they came and went without having met Gatsby at all, came for the party with a simplicity of heart that was its own ticket of admission."""
672,3,"""I had been actually invited."""
673,3,"""A chauffeur in a uniform of robin\u2019s-egg blue crossed my lawn early that Saturday morning with a surprisingly formal note from his employer: the honour would be entirely Gatsby\u2019s, it said, if I would attend his \u201clittle party\u201d that night."""
674,3,"""He had seen me several times, and had intended to call on me long before, but a peculiar combination of circumstances had prevented it\u2014signed Jay Gatsby, in a majestic hand."""
675,3,"""Dressed up in white flannels I went over to his lawn a little after seven, and wandered around rather ill at ease among swirls and eddies of people I didn\u2019t know\u2014though here and there was a face I had noticed on the commuting train."""
676,3,"""I was immediately struck by the number of young Englishmen dotted about; all well dressed, all looking a little hungry, and all talking in low, earnest voices to solid and prosperous Americans."""
677,3,"""I was sure that they were selling something: bonds or insurance or automobiles."""
678,3,"""They were at least agonizingly aware of the easy money in the vicinity and convinced that it was theirs for a few words in the right key."""
679,3,"""As soon as I arrived I made an attempt to find my host, but the two or three people of whom I asked his whereabouts stared at me in such an amazed way, and denied so vehemently any knowledge of his movements, that I slunk off in the direction of the cocktail table\u2014the only place in the garden where a single man could linger without looking purposeless and alone."""
680,3,"""I was on my way to get roaring drunk from sheer embarrassment when Jordan Baker came out of the house and stood at the head of the marble steps, leaning a little backward and looking with contemptuous interest down into the garden."""
681,3,"""Welcome or not, I found it necessary to attach myself to someone before I should begin to address cordial remarks to the passersby."""
682,3,"""\u201cHello!\u201d"""
683,3,"""I roared, advancing toward her."""
684,3,"""My voice seemed unnaturally loud across the garden."""
685,3,"""\u201cI thought you might be here,\u201d she responded absently as I came up."""
686,3,"""\u201cI remembered you lived next door to\u2014\u201d She held my hand impersonally, as a promise that she\u2019d take care of me in a minute, and gave ear to two girls in twin yellow dresses, who stopped at the foot of the steps."""
687,3,"""\u201cHello!\u201d"""
688,3,"""they cried together."""
689,3,"""\u201cSorry you didn\u2019t win.\u201d"""
690,3,"""That was for the golf tournament."""
691,3,"""She had lost in the finals the week before."""
692,3,"""\u201cYou don\u2019t know who we are,\u201d said one of the girls in yellow, \u201cbut we met you here about a month ago.\u201d"""
693,3,"""\u201cYou\u2019ve dyed your hair since then,\u201d remarked Jordan, and I started, but the girls had moved casually on and her remark was addressed to the premature moon, produced like the supper, no doubt, out of a caterer\u2019s basket."""
694,3,"""With Jordan\u2019s slender golden arm resting in mine, we descended the steps and sauntered about the garden."""
695,3,"""A tray of cocktails floated at us through the twilight, and we sat down at a table with the two girls in yellow and three men, each one introduced to us as Mr. Mumble."""
696,3,"""\u201cDo you come to these parties often?\u201d inquired Jordan of the girl beside her."""
697,3,"""\u201cThe last one was the one I met you at,\u201d answered the girl, in an alert confident voice."""
698,3,"""She turned to her companion: \u201cWasn\u2019t it for you, Lucille?\u201d"""
699,3,"""It was for Lucille, too."""
700,3,"""\u201cI like to come,\u201d Lucille said."""
701,3,"""\u201cI never care what I do, so I always have a good time."""
702,3,"""When I was here last I tore my gown on a chair, and he asked me my name and address\u2014inside of a week I got a package from Croirier\u2019s with a new evening gown in it.\u201d"""
703,3,"""\u201cDid you keep it?\u201d asked Jordan."""
704,3,"""\u201cSure I did."""
705,3,"""I was going to wear it tonight, but it was too big in the bust and had to be altered."""
706,3,"""It was gas blue with lavender beads."""
707,3,"""Two hundred and sixty-five dollars.\u201d"""
708,3,"""\u201cThere\u2019s something funny about a fellow that\u2019ll do a thing like that,\u201d said the other girl eagerly."""
709,3,"""\u201cHe doesn\u2019t want any trouble with anybody.\u201d"""
710,3,"""\u201cWho doesn\u2019t?\u201d"""
711,3,"""I inquired."""
712,3,"""\u201cGatsby."""
713,3,"""Somebody told me\u2014\u201d The two girls and Jordan leaned together confidentially."""
714,3,"""\u201cSomebody told me they thought he killed a man once.\u201d"""
715,3,"""A thrill passed over all of us."""
716,3,"""The three Mr. Mumbles bent forward and listened eagerly."""
717,3,"""\u201cI don\u2019t think it\u2019s so much that,\u201d argued Lucille sceptically; \u201cIt\u2019s more that he was a German spy during the war.\u201d"""
718,3,"""One of the men nodded in confirmation."""
719,3,"""\u201cI heard that from a man who knew all about him, grew up with him in Germany,\u201d he assured us positively."""
720,3,"""\u201cOh, no,\u201d said the first girl, \u201cit couldn\u2019t be that, because he was in the American army during the war.\u201d"""
721,3,"""As our credulity switched back to her she leaned forward with enthusiasm."""
722,3,"""\u201cYou look at him sometimes when he thinks nobody\u2019s looking at him."""
723,3,"""I\u2019ll bet he killed a man.\u201d"""
724,3,"""She narrowed her eyes and shivered."""
725,3,"""Lucille shivered."""
726,3,"""We all turned and looked around for Gatsby."""
727,3,"""It was testimony to the romantic speculation he inspired that there were whispers about him from those who had found little that it was necessary to whisper about in this world."""
728,3,"""The first supper\u2014there would be another one after midnight\u2014was now being served, and Jordan invited me to join her own party, who were spread around a table on the other side of the garden."""
729,3,"""There were three married couples and Jordan\u2019s escort, a persistent undergraduate given to violent innuendo, and obviously under the impression that sooner or later Jordan was going to yield him up her person to a greater or lesser degree."""
730,3,"""Instead of rambling, this party had preserved a dignified homogeneity, and assumed to itself the function of representing the staid nobility of the countryside\u2014East Egg condescending to West Egg and carefully on guard against its spectroscopic gaiety."""
731,3,"""\u201cLet\u2019s get out,\u201d whispered Jordan, after a somehow wasteful and inappropriate half-hour; \u201cthis is much too polite for me.\u201d"""
732,3,"""We got up, and she explained that we were going to find the host: I had never met him, she said, and it was making me uneasy."""
733,3,"""The undergraduate nodded in a cynical, melancholy way."""
734,3,"""The bar, where we glanced first, was crowded, but Gatsby was not there."""
735,3,"""She couldn\u2019t find him from the top of the steps, and he wasn\u2019t on the veranda."""
736,3,"""On a chance we tried an important-looking door, and walked into a high Gothic library, panelled with carved English oak, and probably transported complete from some ruin overseas."""
737,3,"""A stout, middle-aged man, with enormous owl-eyed spectacles, was sitting somewhat drunk on the edge of a great table, staring with unsteady concentration at the shelves of books."""
738,3,"""As we entered he wheeled excitedly around and examined Jordan from head to foot."""
739,3,"""\u201cWhat do you think?\u201d"""
740,3,"""he demanded impetuously."""
741,3,"""\u201cAbout what?\u201d"""
742,3,"""He waved his hand toward the bookshelves."""
743,3,"""\u201cAbout that."""
744,3,"""As a matter of fact you needn\u2019t bother to ascertain."""
745,3,"""I ascertained."""
746,3,"""They\u2019re real.\u201d"""
747,3,"""\u201cThe books?\u201d"""
748,3,"""He nodded."""
749,3,"""\u201cAbsolutely real\u2014have pages and everything."""
750,3,"""I thought they\u2019d be a nice durable cardboard."""
751,3,"""Matter of fact, they\u2019re absolutely real.  """
752,3,"""Pages and\u2014Here!"""
753,3,"""Lemme show you.\u201d"""
754,3,"""Taking our scepticism for granted, he rushed to the bookcases and returned with Volume One of the Stoddard Lectures."""
755,3,"""\u201cSee!\u201d"""
756,3,"""he cried triumphantly."""
757,3,"""\u201cIt\u2019s a bona-fide piece of printed matter."""
758,3,"""It fooled me."""
759,3,"""This fella\u2019s a regular Belasco."""
760,3,"""It\u2019s a triumph."""
761,3,"""What thoroughness!"""
762,3,"""What realism!"""
763,3,"""Knew when to stop, too\u2014didn\u2019t cut the pages."""
764,3,"""But what do you want?"""
765,3,"""What do you expect?\u201d"""
766,3,"""He snatched the book from me and replaced it hastily on its shelf, muttering that if one brick was removed the whole library was liable to collapse."""
767,3,"""\u201cWho brought you?\u201d"""
768,3,"""he demanded."""
769,3,"""\u201cOr did you just come?"""
770,3,"""I was brought."""
771,3,"""Most people were brought.\u201d"""
772,3,"""Jordan looked at him alertly, cheerfully, without answering."""
773,3,"""\u201cI was brought by a woman named Roosevelt,\u201d he continued."""
774,3,"""\u201cMrs. Claud Roosevelt."""
775,3,"""Do you know her?"""
776,3,"""I met her somewhere last night."""
777,3,"""I\u2019ve been drunk for about a week now, and I thought it might sober me up to sit in a library.\u201d"""
778,3,"""\u201cHas it?\u201d"""
779,3,"""\u201cA little bit, I think."""
780,3,"""I can\u2019t tell yet."""
781,3,"""I\u2019ve only been here an hour."""
782,3,"""Did I tell you about the books?"""
783,3,"""They\u2019re real."""
784,3,"""They\u2019re\u2014\u201d \u201cYou told us.\u201d"""
785,3,"""We shook hands with him gravely and went back outdoors."""
786,3,"""There was dancing now on the canvas in the garden; old men pushing young girls backward in eternal graceless circles, superior couples holding each other tortuously, fashionably, and keeping in the corners\u2014and a great number of single girls dancing individually or relieving the orchestra for a moment of the burden of the banjo or the traps."""
787,3,"""By midnight the hilarity had increased."""
788,3,"""A celebrated tenor had sung in Italian, and a notorious contralto had sung in jazz, and between the numbers people were doing \u201cstunts\u201d all over the garden, while happy, vacuous bursts of laughter rose toward the summer sky."""
789,3,"""A pair of stage twins, who turned out to be the girls in yellow, did a baby act in costume, and champagne was served in glasses bigger than finger-bowls."""
790,3,"""The moon had risen higher, and floating in the Sound was a triangle of silver scales, trembling a little to the stiff, tinny drip of the banjoes on the lawn."""
791,3,"""I was still with Jordan Baker."""
792,3,"""We were sitting at a table with a man of about my age and a rowdy little girl, who gave way upon the slightest provocation to uncontrollable laughter."""
793,3,"""I was enjoying myself now."""
794,3,"""I had taken two finger-bowls of champagne, and the scene had changed before my eyes into something significant, elemental, and profound."""
795,3,"""At a lull in the entertainment the man looked at me and smiled."""
796,3,"""\u201cYour face is familiar,\u201d he said politely."""
797,3,"""\u201cWeren\u2019t you in the First Division during the war?\u201d"""
798,3,"""\u201cWhy yes."""
799,3,"""I was in the Twenty-eighth Infantry.\u201d"""
800,3,"""\u201cI was in the Sixteenth until June nineteen-eighteen."""
801,3,"""I knew I\u2019d seen you somewhere before.\u201d"""
802,3,"""We talked for a moment about some wet, grey little villages in France."""
803,3,"""Evidently he lived in this vicinity, for he told me that he had just bought a hydroplane, and was going to try it out in the morning."""
804,3,"""\u201cWant to go with me, old sport?"""
805,3,"""Just near the shore along the Sound.\u201d"""
806,3,"""\u201cWhat time?\u201d"""
807,3,"""\u201cAny time that suits you best.\u201d"""
808,3,"""It was on the tip of my tongue to ask his name when Jordan looked around and smiled."""
809,3,"""\u201cHaving a gay time now?\u201d she inquired."""
810,3,"""\u201cMuch better.\u201d"""
811,3,"""I turned again to my new acquaintance."""
812,3,"""\u201cThis is an unusual party for me."""
813,3,"""I haven\u2019t even seen the host."""
814,3,"""I live over there\u2014\u201d I waved my hand at the invisible hedge in the distance, \u201cand this man Gatsby sent over his chauffeur with an invitation.\u201d"""
815,3,"""For a moment he looked at me as if he failed to understand."""
816,3,"""\u201cI\u2019m Gatsby,\u201d he said suddenly."""
817,3,"""\u201cWhat!\u201d"""
818,3,"""I exclaimed."""
819,3,"""\u201cOh, I beg your pardon.\u201d"""
820,3,"""\u201cI thought you knew, old sport."""
821,3,"""I\u2019m afraid I\u2019m not a very good host.\u201d"""
822,3,"""He smiled understandingly\u2014much more than understandingly."""
823,3,"""It was one of those rare smiles with a quality of eternal reassurance in it, that you may come across four or five times in life."""
824,3,"""It faced\u2014or seemed to face\u2014the whole eternal world for an instant, and then concentrated on you with an irresistible prejudice in your favour."""
